week,date,date_end,title,deadline, reading,content,tutorial,assignment
0,2022-09-01,,Introduction to the course,,,"/materials/01_intro",,
1,2022-09-06,,"R, Rstudio, and data visualization",,MD Ch 1-2,"/materials/02_r_data_viz",,
1,2022-09-07,,Tutorial 1,11:59 PM,,,https://mblackwell.shinyapps.io/01-r-basics-data-viz/,
1,2022-09-08,,Data visualization,,,"/materials/02_r_data_viz",,
2,2022-09-12,,Tutorial 2,11:59 PM,,,https://mblackwell.shinyapps.io/02-data-wrangling/,
2,2022-09-13,,Data wrangling,,MD Ch 3,"/materials/03_data_wrangling",,
2,2022-09-14,,Problem Set 1,11:59 PM,,,,/assignments/01_hw_data_viz
2,2022-09-15,,Data wrangling,,,"/materials/03_data_wrangling",,
3,2022-09-19,,Tutorial 3,11:59 PM,,,https://mblackwell.shinyapps.io/03-causality/,
3,2022-09-20,,Causal inference and randomized experiments,,QSS Ch 2.1-2.5,"/materials/04_causality",,
3,2022-09-21,,Problem Set 2,11:59 PM,,,,/assignments/02_hw_data_wrangling
3,2022-09-22,,Causal inference and observational studies,,,"/materials/04_causality",,
4,2022-09-26,,Tutorial 4,11:59 PM,,,https://mblackwell.shinyapps.io/04-summarizing-data/,
4,2022-09-27,,Summarizing data,,QSS Ch 2.6-3.4,"/materials/05_measurement",,
4,2022-09-28,,Problem Set 3,11:59 PM,,,,/assignments/03_hw_causality
4,2022-09-29,,Survey sampling,,,"/materials/05_measurement",,
5,2022-10-03,,Tutorial 5,11:59 PM,,,https://mblackwell.shinyapps.io/05-correlation-tidying/,
5,2022-10-04,,Summarizing relationships in our data,,QSS Ch 3.5-3.6,"/materials/06_bivariate_tidying",,
5,2022-10-05,,Problem Set 4,11:59 PM,,,,/assignments/04_hw_summarizing
5,2022-10-06,,Importing and joining data,,MD Ch 4,"/materials/06_bivariate_tidying",,
6,2022-10-11,,Prediction & Iteration,,QSS  4.1 (except 4.1.2),"/materials/07_prediction",,
6,2022-10-12,,Tutorial 6,11:59 PM,,,http://mblackwell.shinyapps.io/06-loops/,
6,2022-10-13,,Regression,,MD Ch 5 or QSS 4.2 (except 4.2.5),"/materials/07_prediction",,
6,2022-10-13,2022-10-16,Exam 1,11:59 PM,,,https://edstem.org/us/courses/24957/resources,
7,2022-10-18,,Multiple regression,,MD Ch 6.1-6.2 or QSS 4.3.1-4.3.2,"/materials/08_regression",,
7,2022-10-20,,Interpreting regression,,,"/materials/08_regression",,
7,2022-10-21,,Final Project Milestone 1,11:59 PM,,,,assignments/distill
8,2022-10-24,,Tutorial 7,11:59 PM,,,https://mblackwell.shinyapps.io/07-regression/,
8,2022-10-25,,Sampling,,MD Ch 7,"/materials/09_sampling",,
8,2022-10-26,,Problem Set 5,11:59 PM,,,,/assignments/05_hw_regression
8,2022-10-27,,Sampling distributions,,,"/materials/09_sampling",,
8,2022-10-28,,Final Project Milestone 2,11:59 PM,,,,assignments/final-project
9,2022-10-31,,Tutorial 8,11:59 PM,,,https://mblackwell.shinyapps.io/08-bootstrap/,
9,2022-11-01,,The bootstrap and confidence intervals,,MD Ch 8/IMS Ch 12,"/materials/10_bootstrap",,
9,2022-11-02,,Problem Set 6,11:59 PM,,,,/assignments/06_hw_sampling
9,2022-11-03,,The bootstrap and confidence intervals,,,"/materials/10_bootstrap",,
10,2022-11-08,,Hypothesis testing,,MD Ch 9/IMS Ch 11,"/materials/11_hyp_tests",,
10,2022-11-09,,Problem Set 7,11:59 PM,,,,/assignments/07_hw_bootstrap
10,2022-11-10,,Hypothesis testing,,,"/materials/11_hyp_tests",,
10,2022-11-11,,Final Project Milestone 3,11:59 PM,,,,assignments/final-project
11,2022-11-15,,Hypothesis testing,,,,,
11,2022-11-16,,Problem Set 8,11:59 PM,,,,/assignments/08_hw_hyp_tests
11,2022-11-17,,Mathematical models of uncertainty,,IMS Ch 13,,,
11,2022-11-18,,Final Project Milestone 4,11:59 PM,,,,assignments/final-project
12,2022-11-22,,Mathematical models of uncertainty,,,,,
13,2022-11-29,,Uncertainty in regression,,QSS Ch 7.3,,,
13,2022-12-01,,Wrapping up,,,,,
13,2022-12-01,2022-12-04,Exam 2,11:59 PM,,,,
14,2022-12-10,,Final Project due,noon,,,,
