shortnam,africa,lat_abst,malfal94,avexpr,logpgp95,logem4,asia,yellow,baseco,leb95,imr95,meantemp,lt100km,latabs
AFG,0,0.36666667461395264,0.0037200001534074545,NA,NA,4.540098190307617,1,0,NA,NA,NA,NA,NA,NA
AGO,1,0.1366666704416275,0.949999988079071,5.363636493682861,7.7706451416015625,5.63478946685791,0,1,1,46.4900016784668,125,22.941329956054688,0.11875800043344498,0.13666699826717377
ARE,0,0.2666666805744171,0.012299999594688416,7.181818008422852,9.804219245910645,NA,1,0,NA,NA,NA,NA,NA,NA
ARG,0,0.3777777850627899,0,6.386363506317139,9.133459091186523,4.232656002044678,0,0,1,72.88999938964844,21.799999237060547,17.100000381469727,0.12308900058269501,0.37777799367904663
ARM,0,0.4444444477558136,0,NA,7.6824822425842285,NA,1,0,NA,NA,NA,NA,NA,NA
AUS,0,0.30000001192092896,0,9.318181991577148,9.897972106933594,2.1459312438964844,0,1,1,78.25,5.599999904632568,20.899999618530273,0.19895799458026886,0.30000001192092896
AUT,0,0.5244444608688354,0,9.727272987365723,9.97487735748291,NA,0,0,NA,NA,NA,NA,NA,NA
AZE,0,0.44777777791023254,0,NA,7.3065314292907715,NA,1,0,NA,NA,NA,NA,NA,NA
BDI,1,0.036666665226221085,0.949999988079071,NA,6.56526517868042,5.63478946685791,0,1,NA,NA,NA,NA,NA,NA
BEL,0,0.5611110925674438,0,9.681818008422852,9.992871284484863,NA,0,0,NA,NA,NA,NA,NA,NA
BEN,1,0.10333333909511566,0.949999988079071,NA,7.090076923370361,5.58544921875,0,1,NA,NA,NA,NA,NA,NA
BFA,1,0.14444445073604584,0.949999988079071,4.454545497894287,6.845880031585693,5.63478946685791,0,1,1,44.38999938964844,98.80000305175781,28.100000381469727,0,0.14444400370121002
BGD,0,0.2666666805744171,0.12008000165224075,5.136363506317139,6.877295970916748,4.26843786239624,1,1,1,58.130001068115234,78.80000305175781,25.68621063232422,0.4015980064868927,0.2666670083999634
BGR,0,0.47777777910232544,0,8.909090995788574,8.4574432373046875,NA,0,0,NA,NA,NA,NA,NA,NA
BHR,0,0.2888889014720917,NA,8,9.685953140258789,NA,1,0,NA,NA,NA,NA,NA,NA
BHS,0,0.2683333158493042,NA,7.5,9.28544807434082,4.442651271820068,0,1,1,NA,NA,NA,NA,NA
BIH,0,0.4888888895511627,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
BLR,0,0.5888888835906982,0,NA,8.340456008911133,NA,0,0,NA,NA,NA,NA,NA,NA
BLZ,0,0.19055555760860443,0.012479999102652073,NA,8.377931594848633,5.0955891609191895,0,1,NA,NA,NA,NA,NA,NA
BOL,0,0.18888889253139496,0.0016499999910593033,5.636363506317139,7.926602363586426,4.2626800537109375,0,1,1,61.38999938964844,65.5999984741211,21.5,0,0.18888899683952332
BRA,0,0.1111111119389534,0.035999998450279236,7.909090995788574,8.72745418548584,4.2626800537109375,0,1,1,66.779998779296875,42.400001525878906,23.700000762939453,0.09251599758863449,0.11111100018024445
BRB,0,0.1455555558204651,NA,NA,9.26672077178955,4.442651271820068,0,1,NA,NA,NA,NA,NA,NA
BTN,0,0.3033333122730255,0.4179999828338623,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
BWA,1,0.24444444477558136,0.30399999022483826,7.7272725105285645,8.855093002319336,NA,0,1,NA,NA,NA,NA,NA,NA
CAF,1,0.07777778059244156,0.949999988079071,NA,7.192934036254883,5.63478946685791,0,1,NA,NA,NA,NA,NA,NA
CAN,0,0.6666666865348816,0,9.727272987365723,9.986449241638184,2.7788193225860596,0,0,1,78.9800033569336,6,-0.20000000298023224,0.021164000034332275,0.6666669845581055
CHE,0,0.5222222208976746,0,10,10.120210647583008,NA,0,0,NA,NA,NA,NA,NA,NA
CHL,0,0.3333333432674408,0,7.818181991577148,9.336091995239258,4.232656002044678,0,0,1,74.94000244140625,12.800000190734863,13.399999618530273,0.660181999206543,0.33333298563957214
CHN,0,0.3888888955116272,0.013799999840557575,7.7727274894714355,7.886081218719482,4.770684719085693,1,0,NA,NA,NA,NA,NA,NA
CIV,1,0.08888889104127884,0.949999988079071,7,7.444248676300049,6.504288196563721,0,1,1,46.720001220703125,87.30000305175781,26.090700149536133,0.17105600237846375,0.08888900279998779
CMR,1,0.06666667014360428,0.949999988079071,6.454545497894287,7.501081943511963,5.63478946685791,0,1,1,54.72999954223633,74.4000015258789,24.433330535888672,0.09824000298976898,0.06666699796915054
COG,1,0.011111111380159855,0.949999988079071,4.681818008422852,7.420578956604004,5.4806389808654785,0,1,1,48.54999923706055,89.5,24.751510620117188,0.04789299890398979,0.011110999621450901
COL,0,0.04444444552063942,0.14637000858783722,7.318181991577148,8.809863090515137,4.2626800537109375,0,1,1,70.43000030517578,30,22.5,0.1597220003604889,0.044443998485803604
COM,1,0.1344444453716278,0.949999988079071,NA,7.383989334106445,NA,0,1,NA,NA,NA,NA,NA,NA
CPV,1,0.17777778208255768,0,NA,7.979339122772217,NA,0,1,NA,NA,NA,NA,NA,NA
CRI,0,0.1111111119389534,0,7.045454502105713,8.794824600219727,4.357990264892578,0,1,1,76.029998779296875,12.100000381469727,25.100000381469727,1,0.11111100018024445
CZE,0,0.5494444370269775,0,8.863636016845703,9.20432186126709,NA,0,0,NA,NA,NA,NA,NA,NA
DEU,0,0.5666666626930237,0,NA,9.9354705810546875,NA,0,0,NA,NA,NA,NA,NA,NA
DJI,1,0.12555555999279022,0.949999988079071,NA,NA,3.25809645652771,0,1,NA,NA,NA,NA,NA,NA
DNK,0,0.6222222447395325,0,9.727272987365723,10.005592346191406,NA,0,0,NA,NA,NA,NA,NA,NA
DOM,0,0.21111111342906952,0,6.181818008422852,8.364042282104492,4.867534637451172,0,1,1,70.61000061035156,33.599998474121094,25.600000381469727,1,0.21111099421977997
DZA,1,0.31111112236976624,0,6.5,8.389359474182129,4.359269618988037,0,0,1,68.88999938964844,43.79999923706055,19.299999237060547,0.047185998409986496,0.3111110031604767
ECU,0,0.02222222276031971,0.11894999444484711,6.545454502105713,8.470101356506348,4.2626800537109375,0,0,1,69.5199966430664,45.599998474121094,19.100000381469727,0.36841100454330444,0.022221999242901802
EGY,1,0.30000001192092896,0,6.7727274894714355,7.951559543609619,4.216562271118164,0,0,1,66.2699966430664,50.5,22.600000381469727,0.23916299641132355,0.30000001192092896
ERI,1,0.1666666716337204,0.731499969959259,NA,6.620073318481445,NA,0,1,NA,NA,NA,NA,NA,NA
ESP,0,0.4444444477558136,0,9.681818008422852,9.618468284606934,NA,0,0,NA,NA,NA,NA,NA,NA
EST,0,0.6555555462837219,0,NA,8.393895149230957,NA,0,0,NA,NA,NA,NA,NA,NA
ETH,1,0.08888889104127884,0.5509999990463257,5.7272725105285645,6.10924768447876,3.25809645652771,0,1,1,43.31999969482422,116,NA,0.021018000319600105,0.08888900279998779
FIN,0,0.7111111283302307,0,9.727272987365723,9.826066017150879,NA,0,0,NA,NA,NA,NA,NA,NA
FJI,0,0.20000000298023224,NA,NA,8.301521301269531,2.4336133003234863,0,0,NA,NA,NA,NA,NA,NA
