end_date,pollster,sample_size,biden,trump
2020-11-03,Lake Research,2400,51,48
2020-11-02,Research Co.,1025,50,42
2020-11-02,YouGov,1363,53,43
2020-11-02,Ipsos,914,52,45
2020-11-02,SurveyMonkey,28240,52,46
2020-11-02,HarrisX,2297,52,48
2020-11-02,TIPP,1212,50.45,46.05
2020-11-02,USC Dornsife,5423,53.900000000000006,42.36
2020-11-01,John Zogby Strategies/EMI Research Solutions,1008,49.65,43.75
2020-11-01,Swayable,5174,51.8,46.1
2020-11-01,YouGov,1360,53,43
2020-11-01,Redfield & Wilton Strategies,8765,53,41
2020-11-01,SurveyMonkey,24930,52,47
2020-11-01,Léger,827,50,42
2020-11-01,Qriously,3505,52,41
2020-11-01,Change Research,1880,52,42
2020-11-01,TIPP,1080,49.15,45.5
2020-11-01,Rasmussen (Pulse Opinion Research),1500,48,47
2020-11-01,Quinnipiac,1516,50,39
2020-11-01,USC Dornsife,5382,53.66,42.519999999999996
2020-10-31,aytm.com,700,48,39
2020-10-31,SurveyMonkey,34255,52,46
2020-10-31,Morning Consult,14663,52,44
2020-10-31,RMG Research,1200,51,44
2020-10-31,SurveyUSA,1265,52,44
2020-10-31,Swayable,3115,51.9,46.3
2020-10-31,TIPP,1072,49.45,44.05
2020-10-31,USC Dornsife,5364,53.975,42.295
2020-10-30,SurveyMonkey,41768,52,46
2020-10-30,Morning Consult,12000,52,44
2020-10-30,TIPP,1047,49.65,44.400000000000006
2020-10-30,USC Dornsife,5343,53.91,42.215
2020-10-29,Data for Progress,1403,54,44
2020-10-29,Rasmussen (Pulse Opinion Research),1500,49,46
2020-10-29,Beacon Research/Shaw & Company,1246,52,44
2020-10-29,SurveyMonkey,42858,52,46
2020-10-29,Gravis Marketing,1281,50,44
2020-10-29,Morning Consult,12000,52,43
2020-10-29,Opinium,1252,55,41
2020-10-29,TIPP,959,50.7,44.599999999999994
2020-10-29,USC Dornsife,5330,53.885000000000005,42.335
2020-10-28,Harris Poll,1972,54,46
2020-10-28,Swayable,2386,52.8,45.6
2020-10-28,J.L. Partners,844,55,41
2020-10-28,Rasmussen (Pulse Opinion Research),1500,48,47
2020-10-28,Morning Consult,16374,52,43
2020-10-28,AtlasIntel,1726,50.9,46.2
2020-10-28,SurveyMonkey,38783,51,47
2020-10-28,HarrisX,2359,53,47
2020-10-28,TIPP,945,50.15,45.05
2020-10-28,Angus Reid,2231,53,45
2020-10-28,USC Dornsife,5279,53.849999999999994,42.18
2020-10-27,YouGov,1365,54,43
2020-10-27,Rasmussen (Pulse Opinion Research),1500,47,48
2020-10-27,SurveyMonkey,29809,51,47
2020-10-27,Morning Consult,12000,52,44
2020-10-27,TIPP,991,50,45.2
2020-10-27,Ipsos,825,52,42
2020-10-27,Global Marketing Research Services,1006,52.5,38.5
2020-10-27,Suffolk,1000,50.65,43.65
2020-10-27,YouGov,1500,52.6,43.5
2020-10-27,USC Dornsife,5269,54.025,42.015
2020-10-27,CES / YouGov,50908,51,43
2020-10-26,Emerson College Polling Society,1121,50.9,46.7
2020-10-26,Redfield & Wilton Strategies,4790,51,41
2020-10-26,Morning Consult,12000,52,43
2020-10-26,SSRS,886,54,42
2020-10-26,Swayable,11714,51.4,45.7
2020-10-26,TIPP,970,50.55,46.05
2020-10-26,Rasmussen (Pulse Opinion Research),1500,49,47
2020-10-26,Qriously,2234,49,39
2020-10-26,Hofstra University,2000,53.9,42.5
2020-10-26,YouGov,2500,52,41
2020-10-26,USC Dornsife,5293,53.695,42.275
2020-10-25,Tufts,1215,52,45
2020-10-25,Morning Consult,15509,52,43
2020-10-25,YouGov,1350,54,42
2020-10-25,SurveyMonkey,19543,52,46
2020-10-25,Léger,834,49,41
2020-10-25,TIPP,982,51.6,44.7
2020-10-25,Rasmussen (Pulse Opinion Research),1500,47,48
2020-10-25,USC Dornsife,5355,53.925,42.025
2020-10-24,RMG Research,1842,51,44
2020-10-24,Change Research,1125,51,43
2020-10-24,SurveyMonkey,27039,52,46
2020-10-24,Morning Consult,12000,52,43
2020-10-24,TIPP,1006,51.45,44.45
2020-10-24,USC Dornsife,5338,53.61,42.275000000000006
2020-10-23,SurveyMonkey,33180,52,46
2020-10-23,Morning Consult,12000,52,43
2020-10-23,Spry Strategies,3500,47.105000000000004,46.894999999999996
2020-10-23,TIPP,1029,50.650000000000006,44.65
2020-10-23,USC Dornsife,5229,53.785,42.16
2020-10-22,SurveyMonkey,34788,52,46
2020-10-22,Ipsos,935,51,43
2020-10-22,Morning Consult,12000,52,43
2020-10-22,TIPP,972,49.8,45.55
2020-10-22,USC Dornsife,5278,53.91,41.915
2020-10-21,SurveyMonkey,32217,52,46
2020-10-21,Morning Consult,12000,52,43
2020-10-21,TIPP,965,49.7,45.150000000000006
2020-10-21,USC Dornsife,5314,53.8,41.879999999999995
2020-10-20,Data for Progress,811,53.88,43.69
2020-10-20,Rethink Priorities,4933,51.3,41.5
2020-10-20,YouGov,1344,52,43
2020-10-20,SurveyMonkey,24799,52,46
2020-10-20,Morning Consult,15821,52,43
2020-10-20,TIPP,1016,48.6,46.45
2020-10-20,Ipsos,949,51,42
2020-10-20,Echelon Insights,1006,50.5,44
2020-10-20,Rasmussen (Pulse Opinion Research),2500,49,46
2020-10-20,USC Dornsife,5406,53.67,41.7
2020-10-19,SurveyMonkey,18255,52,46
2020-10-19,Morning Consult,12000,53,43
2020-10-19,SurveyUSA,1136,53,43
2020-10-19,Quinnipiac,1426,51,41
2020-10-19,TIPP,1046,48.55,46
2020-10-19,Qriously,2731,51,39
2020-10-19,USC Dornsife,5488,53.86,41.51
2020-10-18,Redfield & Wilton Strategies,2915,51,40
2020-10-18,Change Research,2711,52,42
2020-10-18,Research Co.,1035,50,42
2020-10-18,YouGov,1465,51,40
2020-10-18,Morning Consult,14994,52,43
2020-10-18,SurveyMonkey,21339,53,46
2020-10-18,Léger,821,50,41
2020-10-18,Siena College/NYT Upshot,987,50,41
2020-10-18,TIPP,949,49.900000000000006,44.2
2020-10-18,USC Dornsife,5557,53.975,41.43
2020-10-17,SurveyMonkey,31875,53,45
2020-10-17,RMG Research,1265,51,43
2020-10-17,Morning Consult,12000,52,43
2020-10-17,TIPP,1021,49.65,44.3
2020-10-17,USC Dornsife,5674,53.79,41.365
2020-10-16,SurveyMonkey,38710,53,45
2020-10-16,Morning Consult,12000,52,43
2020-10-16,TIPP,1009,50.349999999999994,43.05
2020-10-16,USC Dornsife,5646,53.88,41.2
2020-10-15,SurveyMonkey,19668,53,45
2020-10-15,Ipsos,920,51,41
2020-10-15,Morning Consult,12000,52,43
2020-10-15,TIPP,951,48.85,43.15
2020-10-15,USC Dornsife,5543,53.760000000000005,41.335
2020-10-14,Morning Consult,15499,52,43
2020-10-14,SurveyMonkey,17663,53,45
2020-10-14,TIPP,864,50,42.099999999999994
2020-10-14,USC Dornsife,5433,54.15,41.055
2020-10-13,J.L. Partners,844,52,42
2020-10-13,YouGov,1333,52,42
2020-10-13,SurveyMonkey,10395,52,46
2020-10-13,Morning Consult,12000,52,43
2020-10-13,TIPP,866,50.55,42.7
2020-10-13,Ipsos,882,51,41
2020-10-13,Whitman Insight Strategies,1103,54,42
2020-10-13,Marist,896,54,43
2020-10-13,Rasmussen (Pulse Opinion Research),2500,50,45
