Track Name,Artist,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52
The Box,Roddy Ricch,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,5,7,8,8,7,7,9,7,9,7,8,12,32,22,41,31,25,32,29,30,33,32,36,45,NA,41,37,45,NA,NA,NA,NA,NA,46,NA,NA,49
ROXANNE,Arizona Zervas,2,4,5,4,4,4,6,7,9,21,12,20,16,20,21,22,22,32,28,30,29,28,24,30,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yummy,Justin Bieber,3,6,17,17,17,24,15,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Circles,Post Malone,4,7,9,10,7,10,11,10,17,26,18,26,18,18,17,15,18,23,20,21,21,19,20,24,22,24,29,49,43,NA,45,34,39,37,35,36,34,34,42,50,38,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOP,DaBaby,5,5,7,5,11,12,18,18,32,47,37,48,41,40,45,43,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falling,Trevor Daniel,6,8,10,7,6,8,10,11,18,28,20,28,19,19,18,20,23,35,29,31,32,31,28,35,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dance Monkey,Tones And I,7,13,13,12,12,13,17,13,21,33,26,36,26,25,27,31,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bandit (with YoungBoy Never Broke Again),Juice WRLD,8,11,14,14,15,20,27,26,42,NA,49,49,42,44,43,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Futsal Shuffle 2020,Lil Uzi Vert,9,9,19,21,24,32,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
everything i wanted,Billie Eilish,10,17,28,9,8,11,14,17,29,NA,45,47,40,41,44,50,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ballin' (with Roddy Ricch),Mustard,11,14,18,15,14,17,21,21,27,40,30,40,33,32,29,32,32,44,41,42,42,43,38,45,44,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blinding Lights,The Weeknd,12,16,15,8,5,6,5,4,2,9,4,1,1,3,3,4,6,7,7,4,4,6,5,3,4,5,7,23,11,24,11,9,13,14,13,14,13,14,18,21,14,15,12,22,22,21,29,16,24,NA,NA,19
Adore You,Harry Styles,13,20,34,24,22,21,23,20,25,36,27,33,25,22,22,26,25,37,30,27,39,41,34,38,33,36,48,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suicidal,YNW Melly,14,10,8,6,9,14,19,19,33,46,47,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
My Oh My (feat. DaBaby),Camila Cabello,15,26,41,31,30,29,30,34,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Don't Start Now,Dua Lipa,16,21,31,20,13,9,12,9,12,23,16,18,5,7,8,10,15,21,22,23,26,27,23,28,29,26,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Idea,Don Toliver,17,28,38,30,35,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hot girl bummer,blackbear,18,25,35,36,32,33,36,37,48,NA,40,45,36,38,40,40,37,NA,43,46,45,44,37,43,42,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIBEZ,DaBaby,19,24,37,27,34,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Watermelon Sugar,Harry Styles,20,35,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,16,11,8,5,6,4,22,10,23,9,7,11,11,15,11,14,15,19,25,22,22,21,38,28,32,40,NA,NA,NA,NA,NA
Heartless,The Weeknd,21,30,NA,48,NA,NA,NA,48,NA,NA,NA,6,31,34,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUT WEST (feat. Young Thug),JACKBOYS,22,31,NA,26,25,27,33,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,23,33,49,34,28,31,34,36,43,50,46,46,39,35,35,37,33,43,35,37,34,32,26,29,27,27,30,NA,49,NA,47,37,42,40,41,42,39,40,49,NA,43,39,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIGHEST IN THE ROOM,Travis Scott,24,32,NA,35,33,35,41,44,NA,NA,NA,NA,NA,NA,NA,41,13,34,34,40,37,37,35,40,43,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Someone You Loved,Lewis Capaldi,25,34,50,25,27,30,31,33,47,NA,50,44,35,36,36,36,36,NA,45,50,50,NA,43,NA,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,44,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woah,Lil Baby,26,27,43,28,23,25,29,28,20,45,44,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memories,Maroon 5,27,37,NA,39,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lose You To Love Me,Selena Gomez,28,19,48,40,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUGAR,BROCKHAMPTON,29,23,32,22,21,23,32,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucid Dreams,Juice WRLD,30,39,NA,43,42,39,42,46,NA,NA,NA,NA,45,46,42,46,34,NA,42,45,47,42,36,42,38,35,39,40,39,50,43,30,37,35,33,34,28,33,41,46,30,32,37,NA,42,45,49,NA,NA,NA,NA,48
Suge,DaBaby,31,40,NA,49,49,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Say So,Doja Cat,32,29,36,23,19,18,22,12,3,12,7,12,6,9,7,9,11,12,13,26,31,46,45,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,Juice WRLD,33,41,NA,45,45,44,49,50,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,46,NA,NA,NA,46,44,45,36,38,33,35,44,48,37,34,39,NA,48,NA,NA,NA,NA,NA,NA,NA
bad guy,Billie Eilish,34,44,NA,18,29,36,38,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ransom,Lil Tecca,37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,38,22,29,19,18,19,25,25,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Truth Hurts,Lizzo,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223's (feat. 9lokknine),YNW Melly,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
